# BETA MCTIME VIRIAL1 DELTA ENERGY N1 L ACCEPTANCE ENERGYSQUARE TEMPERATURE DENSITY PRESSURE CV ENERGYERR CVERR N THERMTIME THBIN BTIME VOLUME PRERR ENERGYTAIL VIRTAIL CUTOFF U TOTENERGY DELTAIN FILENAME SIMTIME CORRTIME 
0.666667 3600000.0 -0.175452036111 0.13 -0.362933519444 5 13.5721 0.837062 0.133572459167 1.49999925 0.0499998682921 0.0660931469289 0.000822987325358 0.00244918876029 3.70098166883e-05 125 6800 50 10000 2500.00658541 0.00168867037006 -0.0013404012286 -0.00268079330674 6.78605 -0.364273920673 1.88572495433 0.13 ./data/phasediag2/test0007.out 0.0 11661.9663943 
1.25 3600000.0 -0.652881080556 0.1187 -2.1760499 5 11.0228 0.403338 4.94222454167 0.8 0.0933327861194 0.0128592104718 0.323486522464 0.0938142209576 0.124093589031 125 8450 50 10000 1339.29356657 0.0149561526152 -0.00467048384654 -0.00934085659561 5.5114 -2.18072038385 -0.980720383847 0.1187 ./data/phasediag2/test0008.out 0.0 153039.553012 
1.11111 36000000.0 -0.559651047222 0.1197 -1.30083209167 5 11.0228 0.558012 1.75023749167 0.900000900001 0.0933327861194 0.0308939918444 0.0716953639631 0.0280964529579 0.00715150715594 125 11700 50 100000 1339.29356657 0.00492838078607 -0.00467048384654 -0.00934085659561 5.5114 -1.30550257551 0.0444987744881 0.1197 ./data/phasediag2/test0009.out 210.0 489360.071625 
1.0 3600000.0 -0.470797530556 0.1207 -0.928702019444 5 11.0228 0.646189 0.874538030556 1.0 0.0933327861194 0.0485201327237 0.0120505896354 0.0146265118508 0.00207363525575 125 7100 50 10000 1339.29356657 0.00671705392791 -0.00467048384654 -0.00934085659561 5.5114 -0.933372503291 0.566627496709 0.1207 ./data/phasediag2/test0010.out 0.0 63911.0184168 
0.909091 3600000.0 -0.418131536111 0.1217 -0.816068513889 5 11.0228 0.683521 0.671477133333 1.09999989 0.0933327861194 0.0627688650643 0.00455315295403 0.00779126360598 0.000419741159686 125 6250 50 10000 1339.29356657 0.00289864180947 -0.00467048384654 -0.00934085659561 5.5114 -0.820738997735 0.829260837265 0.1217 ./data/phasediag2/test0011.out 0.0 39666.2161515 
0.833333 3600000.0 -0.381451794444 0.1227 -0.752657808333 5 11.0228 0.709616 0.570686797222 1.20000048 0.0933327861194 0.0755256212265 0.00291181765463 0.00483860968951 0.000169315083398 125 6250 50 10000 1339.29356657 0.00304150817987 -0.00467048384654 -0.00934085659561 5.5114 -0.75732829218 1.04267242782 0.1227 ./data/phasediag2/test0012.out 0.0 20100.9539183 
0.769231 3600000.0 -0.354049066667 0.1237 -0.729099863889 5 11.0228 0.723957 0.535372697222 1.29999961 0.0933327861194 0.0874163915697 0.00224028874028 0.00506703361136 0.000120072213091 125 6350 50 10000 1339.29356657 0.00257850202808 -0.00467048384654 -0.00934085659561 5.5114 -0.733770347735 1.21622906726 0.1237 ./data/phasediag2/test0013.out 0.0 24412.9145416 
0.714286 3600000.0 -0.332564036111 0.1247 -0.709790472222 5 11.0228 0.735541 0.507916555556 1.39999944 0.0933327861194 0.0987549120767 0.00209900223946 0.0054339785572 0.000169257984928 125 8350 50 10000 1339.29356657 0.00329421395501 -0.00467048384654 -0.00934085659561 5.5114 -0.714460956069 1.38553820393 0.1247 ./data/phasediag2/test0014.out 0.0 25838.643835 
0.666667 3600000.0 -0.31069495 0.1257 -0.691474352778 5 11.0228 0.746234 0.481644897222 1.49999925 0.0933327861194 0.110129275692 0.00155916452484 0.00370388111208 9.89120408156e-05 125 11000 50 10000 1339.29356657 0.00304813349433 -0.00467048384654 -0.00934085659561 5.5114 -0.696144836624 1.55385403838 0.1257 ./data/phasediag2/test0015.out 0.0 14078.0514616 
1.25 3600000.0 -0.748192044444 0.1143 -2.52041919444 5 9.70694 0.365704 6.4528475 0.8 0.136666784807 0.00434329714599 0.156772787931 0.0501413293807 0.0706613015849 125 6100 50 10000 914.633355695 0.00839444893699 -0.0100141353855 -0.0200277600082 4.85347 -2.53043332983 -1.33043332983 0.1143 ./data/phasediag2/test0016.out 0.0 90207.6841073 
