# BETA MCTIME VIRIAL1 DELTA ENERGY N1 L ACCEPTANCE ENERGYSQUARE TEMPERATURE DENSITY PRESSURE CV ENERGYERR CVERR N THERMTIME THBIN BTIME VOLUME PRERR ENERGYTAIL VIRTAIL CUTOFF U TOTENERGY DELTAIN FILENAME
0.666667 3600000.0 -0.518619944444 0.117 -1.26681288889 5 8.85549 0.64232 1.61085008333 1.49999925 0.179999882708 0.170394895149 0.002682308406 0.00676925496426 9.94269980942e-06 125 5500 50 10000 694.44489696 0.00020265338709 -0.017370959629 -0.0347403823207 4.427745 -1.28418384852 0.965815026483 0.117 ./data/phasediag2/test0031.out 
1.25 3600000.0 -0.931277577778 0.1057 -2.96497325 5 8.24111 0.338834 8.83931530556 0.8 0.223332989804 -0.0412620162016 0.0753889567812 0.0407282799661 0.00202322966274 125 11400 50 10000 559.702353467 0.000729520433412 -0.0267408225813 -0.0534780028368 4.120555 -2.99171407258 -1.79171407258 0.1057 ./data/phasediag2/test0032.out 
1.11111 3600000.0 -0.906705027778 0.1067 -2.46627391667 5 8.24111 0.414324 6.12254769444 0.900000900001 0.223332989804 -0.0134406551627 0.0494328176948 0.0396145269027 0.000652561192282 125 8600 50 10000 559.702353467 0.000493415819301 -0.0267408225813 -0.0534780028368 4.120555 -2.49301473925 -1.14301338925 0.1067 ./data/phasediag2/test0033.out 
1.0 3600000.0 -0.876738783333 0.1077 -2.06524927778 5 8.24111 0.483286 4.28907527778 1.0 0.223332989804 0.0155848937828 0.0238206984161 0.0379140075984 0.000275260571046 125 6200 50 10000 559.702353467 0.000358737014957 -0.0267408225813 -0.0534780028368 4.120555 -2.09199010036 -0.591990100359 0.1077 ./data/phasediag2/test0034.out 
0.909091 3600000.0 -0.8144888 0.1087 -1.86521830556 5 8.24111 0.524173 3.5001885 1.09999989 0.223332989804 0.0518206430896 0.017478658554 0.0359543976702 0.000110571219027 125 9900 50 10000 559.702353467 0.000350667403016 -0.0267408225813 -0.0534780028368 4.120555 -1.89195912814 -0.241959293137 0.1087 ./data/phasediag2/test0035.out 
0.833333 3600000.0 -0.753216594444 0.1097 -1.72549361111 5 8.24111 0.554754 2.98783855556 1.20000048 0.223332989804 0.0878381786951 0.00729885080695 0.0130648062669 3.34584748217e-05 125 8400 50 10000 559.702353467 0.000191391670498 -0.0267408225813 -0.0534780028368 4.120555 -1.75223443369 0.0477662863079 0.1097 ./data/phasediag2/test0036.out 
0.769231 3600000.0 -0.699686566667 0.1107 -1.64360158333 5 8.24111 0.576203 2.71010930556 1.29999961 0.223332989804 0.122126304524 0.00513795623053 0.0103796282106 2.44852465284e-05 125 7200 50 10000 559.702353467 0.000274389952718 -0.0267408225813 -0.0534780028368 4.120555 -1.67034240591 0.279657009086 0.1107 ./data/phasediag2/test0037.out 
0.714286 3600000.0 -0.640128258333 0.1117 -1.59196625 5 8.24111 0.590938 2.54099572222 1.39999944 0.223332989804 0.157760900605 0.0033873399972 0.00557197880093 1.04421335575e-05 125 5500 50 10000 559.702353467 0.000225538272136 -0.0267408225813 -0.0534780028368 4.120555 -1.61870707258 0.481292087419 0.1117 ./data/phasediag2/test0038.out 
0.666667 3600000.0 -0.589599752778 0.1127 -1.54721991667 5 8.24111 0.603938 2.40057130556 1.49999925 0.223332989804 0.191378839368 0.0029697074255 0.00488054946353 6.9287455586e-06 125 5350 50 10000 559.702353467 0.000272728162145 -0.0267408225813 -0.0534780028368 4.120555 -1.57396073925 0.676038135753 0.1127 ./data/phasediag2/test0039.out 
1.25 3600000.0 -1.00073836667 0.1013 -3.09265041667 5 7.76808 0.341503 9.59763447222 0.8 0.266666796932 -0.07386089809 0.0517935508027 0.0284027760232 0.00121869036668 125 6050 50 10000 468.749771019 0.000669292778638 -0.0381236347353 -0.0762398658688 3.88404 -3.1307740514 -1.9307740514 0.1013 ./data/phasediag2/test0040.out 
1.11111 3600000.0 -0.987763338889 0.1023 -2.67507163889 5 7.76808 0.404717 7.19977552778 0.900000900001 0.266666796932 -0.0437339692989 0.0540335395748 nan nan 125 8150 50 10000 468.749771019 nan -0.0381236347353 -0.0762398658688 3.88404 -2.71319527362 -1.36319392362 0.1023 ./data/phasediag2/test0041.out 
1.0 3600000.0 -0.966836697222 0.1033 -2.34813238889 5 7.76808 0.460459 5.53906172222 1.0 0.266666796932 -0.0114870891023 0.0253360064732 0.02526007253 0.000194401739859 125 9700 50 10000 468.749771019 0.000255211665115 -0.0381236347353 -0.0762398658688 3.88404 -2.38625602362 -0.886256023624 0.1033 ./data/phasediag2/test0042.out 
