# BETA MCTIME VIRIAL1 DELTA ENERGY N1 L ACCEPTANCE ENERGYSQUARE TEMPERATURE DENSITY PRESSURE CV ENERGYERR CVERR N THERMTIME THBIN BTIME VOLUME PRERR ENERGYTAIL VIRTAIL CUTOFF U TOTENERGY DELTAIN FILENAME SIMTIME CORRTIME 
0.5 3600000.0 0.143151607053 0.09 -3.13446841667 9 11.3393 0.487901 9.82662316667 2.0 0.499998604287 1.04858970638 0.000432727896456 0.00174168790235 1.77455577636e-05 729 95250 50 10000 1458.00406991 0.0102348155739 -0.0229834007289 -0.045966340151 5.66965 -3.1574518174 -0.157451817396 0.09 ./data/size_scaling/test2004.out 113.0 6309.11271639 
0.5 3600000.0 0.163741625806 0.09 -3.1394725 10 12.5992 0.486378 9.85759802778 2.0 0.500001249955 1.06511840973 0.000327612380381 0.00206767275256 1.54723209305e-05 1000 92400 50 10000 1999.99500019 0.0116778558582 -0.0167551552303 -0.0335101317371 6.2996 -3.15622765523 -0.15622765523 0.09 ./data/size_scaling/test2005.out 157.0 11744.8050835 
0.5 3600000.0 0.159436825723 0.09 -3.14057786111 11 13.8591 0.486211 9.86413655556 2.0 0.500003414607 1.06713720406 0.000226813463579 0.00175812953989 1.22534956293e-05 1331 124850 50 10000 2661.98182076 0.0103142363068 -0.0125885343545 -0.0251769929114 6.92955 -3.15316639547 -0.153166395466 0.09 ./data/size_scaling/test2006.out 268.0 12265.2222105 
0.5 3600000.0 0.152434871878 0.09 -3.14562525 12 15.1191 0.486329 9.895809 2.0 0.499995297229 1.06651134814 0.000212696640609 0.00213782901643 1.13831348276e-05 1728 204200 50 10000 3456.03250586 0.0092604309421 -0.00969607390754 -0.0193921131789 7.55955 -3.15532132391 -0.155321323908 0.09 ./data/size_scaling/test2007.out 287.0 19338.723928 
0.5 3600000.0 0.163730569675 0.09 -3.14422111111 13 16.379 0.48598 9.8866605 2.0 0.499997586728 1.07423380864 0.000133526110802 0.00126588792646 6.79625896533e-06 2197 271250 50 10000 4394.02120794 0.0082574033027 -0.00762629975757 -0.0152525826621 8.1895 -3.15184741087 -0.151847410869 0.09 ./data/size_scaling/test2008.out 317.0 10801.0711123 
0.5 3600000.0 0.153548432556 0.09 -3.14469605556 14 17.6389 0.486353 9.88959802778 2.0 0.499999549167 1.07066716238 0.000121186487776 0.00188302557564 9.89406752586e-06 2744 255150 50 10000 5488.00494835 0.0115684960599 -0.00610609283382 -0.0122121770175 8.81945 -3.15080214839 -0.150802148389 0.09 ./data/size_scaling/test2009.out 383.0 26333.0247887 
0.5 3600000.0 0.348128653344 0.09 -3.03781108333 5 6.29961 0.486066 9.23825158333 2.0 0.499998868853 1.04011279824 0.00248885132762 0.00212504064043 4.12968919374e-05 125 9300 50 10000 250.000565575 0.0118873442959 -0.133994927727 -0.267898350764 3.149805 -3.17180601106 -0.171806011061 0.09 ./data/size_scaling/test3000.out 20.0 1632.9693566 
0.5 3600000.0 0.218596467917 0.09 -3.0957645 6 7.55953 0.487269 9.58944266667 2.0 0.499999265703 1.03174449188 0.0014212068016 0.00178947086542 2.79771428853e-05 216 18750 50 10000 432.000634434 0.0115013982872 -0.0775610940002 -0.155104453722 3.779765 -3.173325594 -0.173325594 0.09 ./data/size_scaling/test3001.out 35.0 2027.84378538 
0.5 3600000.0 0.188370052017 0.09 -3.11866272222 7 8.81945 0.486635 9.72988369444 2.0 0.499999549167 1.04533973506 0.000956629866481 0.0020423323474 2.492219084e-05 343 23550 50 10000 686.000618544 0.0144956978175 -0.0488465628338 -0.0976886967929 4.409725 -3.16750928506 -0.167509285056 0.09 ./data/size_scaling/test3002.out 56.0 3924.20246015 
0.5 3600000.0 0.191598021472 0.09 -3.12962680556 8 10.0794 0.485846 9.79702555556 2.0 0.499995297229 1.06306603557 0.000615403375921 0.00227597992143 1.9657950118e-05 512 40150 50 10000 1024.00963137 0.0107708577479 -0.0327236421212 -0.065445952712 5.0397 -3.16235044768 -0.162350447677 0.09 ./data/size_scaling/test3003.out 83.0 7575.64278148 
0.5 3600000.0 0.201998209222 0.09 -3.13574488889 9 11.3393 0.484896 9.83462675 2.0 0.499998604287 1.07801292533 0.000432685451802 0.00238276323012 1.60540631514e-05 729 77750 50 10000 1458.00406991 0.0112563781986 -0.0229834007289 -0.045966340151 5.66965 -3.15872828962 -0.158728289618 0.09 ./data/size_scaling/test3004.out 117.0 11809.513189 
0.5 3600000.0 0.152627218208 0.09 -3.13805080556 10 12.5992 0.486854 9.84857508333 2.0 0.500001249955 1.05956119204 0.000303056271366 0.0020979545209 1.20772665639e-05 1000 179000 50 10000 1999.99500019 0.0140524692795 -0.0167551552303 -0.0335101317371 6.2996 -3.15480596079 -0.154805960786 0.09 ./data/size_scaling/test3005.out 157.0 13071.0769875 
0.5 3600000.0 0.142919285603 0.09 -3.14147727778 11 13.8591 0.486734 9.86979547222 2.0 0.500003414607 1.0588783776 0.000228996357036 0.00165458964621 1.41054653435e-05 1331 134300 50 10000 2661.98182076 0.0113085402415 -0.0125885343545 -0.0251769929114 6.92955 -3.15406581213 -0.154065812132 0.09 ./data/size_scaling/test3006.out 200.0 10759.5607174 
0.5 3600000.0 0.144194154608 0.09 -3.13575244444 12 15.1191 0.487326 9.83368527778 2.0 0.499995297229 1.06239102826 0.000185471234617 0.00138788649296 1.31751268905e-05 1728 177150 50 10000 3456.03250586 0.0102806236244 -0.00969607390754 -0.0193921131789 7.55955 -3.14544851835 -0.145448518352 0.09 ./data/size_scaling/test3007.out 255.0 9347.03448324 
0.5 3600000.0 0.125882341694 0.09 -3.145319 13 16.379 0.486947 9.89359491667 2.0 0.499997586728 1.05530978599 0.000140826226416 0.00153308152688 7.64449786594e-06 2197 244450 50 10000 4394.02120794 0.00852088236678 -0.00762629975757 -0.0152525826621 8.1895 -3.15294529976 -0.152945299758 0.09 ./data/size_scaling/test3008.out 318.0 15020.6756589 
0.5 3600000.0 0.169393861275 0.09 -3.14077116667 14 17.6389 0.485445 9.86489775 2.0 0.499999549167 1.0785898696 0.000113557158826 0.00154999082587 6.86590471506e-06 2744 253100 50 10000 5488.00494835 0.0120678522971 -0.00610609283382 -0.0122121770175 8.81945 -3.1468772595 -0.1468772595 0.09 ./data/size_scaling/test3009.out 385.0 19040.8462715 
0.5 3600000.0 0.322365893389 0.09 -3.04071147222 5 6.29961 0.488016 9.25591980556 2.0 0.499998868853 1.02723144741 0.00249838706293 0.00234923081465 4.19798268081e-05 125 9750 50 10000 250.000565575 0.0126075397358 -0.133994927727 -0.267898350764 3.149805 -3.17470639995 -0.17470639995 0.09 ./data/size_scaling/test4000.out 21.0 1988.08141146 
0.5 3600000.0 0.23410464225 0.09 -3.08841991667 6 7.55953 0.48725 9.54402877778 2.0 0.499999265703 1.03949856766 0.00142279902861 0.00167040142264 3.30496231907e-05 216 14850 50 10000 432.000634434 0.0128873349997 -0.0775610940002 -0.155104453722 3.779765 -3.16598101067 -0.165981010667 0.09 ./data/size_scaling/test4001.out 35.0 1764.98350856 
0.5 3600000.0 0.196464610839 0.09 -3.11061475 7 8.81945 0.487103 9.67957458333 2.0 0.499999549167 1.04938701082 0.000912615103942 0.00198645792558 2.37558452572e-05 343 23050 50 10000 686.000618544 0.0112048291681 -0.0488465628338 -0.0976886967929 4.409725 -3.15946131283 -0.159461312834 0.09 ./data/size_scaling/test4002.out 56.0 3891.46921384 
0.5 3600000.0 0.172110620197 0.09 -3.13099966667 8 10.0794 0.486055 9.80554111111 2.0 0.499995297229 1.05332242658 0.000595549611083 0.00201183679927 1.80176332634e-05 512 42100 50 10000 1024.00963137 0.0111222276395 -0.0327236421212 -0.065445952712 5.0397 -3.16372330879 -0.163723308788 0.09 ./data/size_scaling/test4003.out 84.0 6116.59970624 
0.5 3600000.0 0.169776623694 0.09 -3.13546069444 9 11.3393 0.485771 9.83286013889 2.0 0.499998604287 1.06190217754 0.000436593120713 0.00195898618511 1.60364198186e-05 729 71900 50 10000 1458.00406991 0.0117074087847 -0.0229834007289 -0.045966340151 5.66965 -3.15844409517 -0.158444095173 0.09 ./data/size_scaling/test4004.out 116.0 7910.94504758 
0.5 3600000.0 0.146184279944 0.09 -3.1347145 10 12.5992 0.486635 9.82768730556 2.0 0.500001249955 1.05633971485 0.000313077261325 0.00144242490292 1.29302809165e-05 1000 126900 50 10000 1999.99500019 0.0089088329954 -0.0167551552303 -0.0335101317371 6.2996 -3.15146965523 -0.15146965523 0.09 ./data/size_scaling/test4005.out 157.0 5981.049638 
0.5 3600000.0 0.169809858881 0.09 -3.14440369444 11 13.8591 0.485442 9.88828022222 2.0 0.500003414607 1.07232375606 0.000251407146588 0.00234546976421 1.27666405414e-05 1331 142700 50 10000 2661.98182076 0.0106371550305 -0.0125885343545 -0.0251769929114 6.92955 -3.1569922288 -0.156992228799 0.09 ./data/size_scaling/test4006.out 201.0 19693.5753041 
0.5 3600000.0 0.161222969561 0.09 -3.13975825 12 15.1191 0.486244 9.85876725 2.0 0.499995297229 1.07090535565 0.000171345389234 0.00165535149427 8.40722518216e-06 1728 212150 50 10000 3456.03250586 0.0131148707905 -0.00969607390754 -0.0193921131789 7.55955 -3.14945432391 -0.149454323908 0.09 ./data/size_scaling/test4007.out 256.0 14392.9738854 
0.5 3600000.0 0.1608276358 0.09 -3.15277605556 13 16.379 0.485349 9.94051780556 2.0 0.499997586728 1.07278234871 0.000130237267777 0.00150686497881 6.9601416091e-06 2197 314250 50 10000 4394.02120794 0.0100681415256 -0.00762629975757 -0.0152525826621 8.1895 -3.16040235531 -0.160402355313 0.09 ./data/size_scaling/test4008.out 317.0 15691.1911068 
0.5 3600000.0 0.147089461464 0.09 -3.14186463889 14 17.6389 0.486628 9.87181158333 2.0 0.499999549167 1.06743767975 0.000124543558232 0.00179649844503 1.23131099077e-05 2744 382400 50 10000 5488.00494835 0.00991932482943 -0.00610609283382 -0.0122121770175 8.81945 -3.14797073172 -0.147970731723 0.09 ./data/size_scaling/test4009.out 390.0 23322.4908452 
